2026-09-07 18:15:55 [3db8b6d] 13219kb (99.3%) ████████████████████
2026-09-07 18:16:22 [3db8b6d] 13217kb (99.3%) ████████████████████
2026-09-07 18:16:42 [3db8b6d] 13191kb (99.1%) ████████████████████
2026-09-07 18:39:27 [99818be] 13190kb (99.1%) ████████████████████
2026-09-07 18:42:32 [99818be] 13193kb (99.1%) ████████████████████
2026-09-07 18:42:52 [99818be] 13190kb (99.1%) ████████████████████
2026-09-07 18:44:35 [99818be] 13191kb (99.1%) ████████████████████
2026-09-07 18:51:28 [99818be] 13166kb (98.9%) ████████████████████
2026-09-07 18:51:44 [99818be] 13166kb (98.9%) ████████████████████
2026-09-08 08:35:11 [99818be] 13166kb (98.9%) ████████████████████
2026-09-08 08:35:32 [99818be] 13169kb (98.9%) ████████████████████
2026-09-08 08:35:54 [99818be] 13166kb (98.9%) ████████████████████
2026-09-08 08:37:17 [99818be] 13195kb (99.1%) ████████████████████
2026-09-08 08:37:48 [99818be] 13175kb (99.0%) ████████████████████
2026-09-08 08:38:11 [99818be] 13166kb (98.9%) ████████████████████
2026-09-08 09:01:23 [50f38c5] 13232kb (99.4%) ████████████████████
2026-09-08 09:03:29 [d16c281] 13225kb (99.3%) ████████████████████
2026-09-08 09:03:55 [d16c281] 13232kb (99.4%) ████████████████████
2026-09-08 09:05:07 [d16c281] 13232kb (99.4%) ████████████████████
2026-09-08 09:05:37 [d16c281] 13230kb (99.4%) ████████████████████
2026-09-08 09:08:49 [8e408da] 13235kb (99.4%) ████████████████████
2026-09-08 09:09:23 [8e408da] 13226kb (99.4%) ████████████████████
2026-09-08 21:35:32 [8eb5082] 13230kb (99.4%) ████████████████████
2026-09-08 21:36:23 [8eb5082] 13226kb (99.4%) ████████████████████
2026-09-08 21:42:44 [8eb5082] 13239kb (99.5%) ████████████████████
2026-09-08 21:43:34 [8eb5082] 13226kb (99.4%) ████████████████████
2026-09-08 21:52:26 [8eb5082] 13198kb (99.1%) ████████████████████
